idx,name,type_cnt,label,img,type1,type2,species,height,weight,abilities,eggs,gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,total,Nor,Fir,Wat,Ele,Gra,Ice,Fig,Poi,Gro,Fly,Psy,Bug,Roc,Gho,Dra,Dar,Ste,Fai
131,Lapras,1,Lapras,https://img.pokemondb.net/artwork/large/lapras.jpg,Water,Ice,Transport Pokémon,2.5 m (8′02″),220.0 kg (485.0 lbs),Water Absorb | Shell Armor | Hydration,"['Monster', 'Water 1']","50% male, 50% female",130,85,80,85,95,60,535,1,1,0,2,2,¼,2,1,1,1,1,1,2,1,1,1,1,1
132,Ditto,1,Ditto,https://img.pokemondb.net/artwork/large/ditto.jpg,Normal,,Transform Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),Limber | Imposter,['Ditto'],Genderless,48,48,48,48,48,48,288,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Eevee,2,Eevee,https://img.pokemondb.net/artwork/large/eevee.jpg,Normal,,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),Run Away | Adaptability | Anticipation,['Field'],"87.5% male, 12.5% female",55,55,50,45,65,55,325,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Eevee,2,Partner Eevee,https://img.pokemondb.net/artwork/large/eevee-lets-go.jpg,Normal,,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),,[],"87.5% male, 12.5% female",65,75,70,65,85,75,435,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
134,Vaporeon,1,Vaporeon,https://img.pokemondb.net/artwork/large/vaporeon.jpg,Water,,Bubble Jet Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),Water Absorb | Hydration,['Field'],"87.5% male, 12.5% female",130,65,60,110,95,65,525,1,½,0,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
135,Jolteon,1,Jolteon,https://img.pokemondb.net/artwork/large/jolteon.jpg,Electric,,Lightning Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),Volt Absorb | Quick Feet,['Field'],"87.5% male, 12.5% female",65,65,60,110,95,130,525,1,1,1,0,1,1,1,1,2,½,1,1,1,1,1,1,½,1
136,Flareon,1,Flareon,https://img.pokemondb.net/artwork/large/flareon.jpg,Fire,,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs),Flash Fire | Guts,['Field'],"87.5% male, 12.5% female",65,130,60,95,110,65,525,1,0,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
137,Porygon,1,Porygon,https://img.pokemondb.net/artwork/large/porygon.jpg,Normal,,Virtual Pokémon,0.8 m (2′07″),36.5 kg (80.5 lbs),Trace | Download | Analytic,['Mineral'],Genderless,65,60,70,85,75,40,395,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
138,Omanyte,1,Omanyte,https://img.pokemondb.net/artwork/large/omanyte.jpg,Rock,Water,Spiral Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),Swift Swim | Shell Armor | Weak Armor,"['Water 1', 'Water 3']","87.5% male, 12.5% female",35,40,100,90,55,35,355,½,¼,1,2,4,½,2,½,2,½,1,1,1,1,1,1,1,1
139,Omastar,1,Omastar,https://img.pokemondb.net/artwork/large/omastar.jpg,Rock,Water,Spiral Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),Swift Swim | Shell Armor | Weak Armor,"['Water 1', 'Water 3']","87.5% male, 12.5% female",70,60,125,115,70,55,495,½,¼,1,2,4,½,2,½,2,½,1,1,1,1,1,1,1,1
140,Kabuto,1,Kabuto,https://img.pokemondb.net/artwork/large/kabuto.jpg,Rock,Water,Shellfish Pokémon,0.5 m (1′08″),11.5 kg (25.4 lbs),Swift Swim | Battle Armor | Weak Armor,"['Water 1', 'Water 3']","87.5% male, 12.5% female",30,80,90,55,45,55,355,½,¼,1,2,4,½,2,½,2,½,1,1,1,1,1,1,1,1
141,Kabutops,1,Kabutops,https://img.pokemondb.net/artwork/large/kabutops.jpg,Rock,Water,Shellfish Pokémon,1.3 m (4′03″),40.5 kg (89.3 lbs),Swift Swim | Battle Armor | Weak Armor,"['Water 1', 'Water 3']","87.5% male, 12.5% female",60,115,105,65,70,80,495,½,¼,1,2,4,½,2,½,2,½,1,1,1,1,1,1,1,1
142,Aerodactyl,2,Aerodactyl,https://img.pokemondb.net/artwork/large/aerodactyl.jpg,Rock,Flying,Fossil Pokémon,1.8 m (5′11″),59.0 kg (130.1 lbs),Rock Head | Pressure | Unnerve,['Flying'],"87.5% male, 12.5% female",80,105,65,60,75,130,515,½,½,2,2,1,2,1,½,0,½,1,½,2,1,1,1,2,1
142,Aerodactyl,2,Mega Aerodactyl,https://img.pokemondb.net/artwork/large/aerodactyl-mega.jpg,Rock,Flying,Fossil Pokémon,2.1 m (6′11″),79.0 kg (174.2 lbs),Tough Claws,['Flying'],"87.5% male, 12.5% female",80,135,85,70,95,150,615,½,½,2,2,1,2,1,½,0,½,1,½,2,1,1,1,2,1
143,Snorlax,1,Snorlax,https://img.pokemondb.net/artwork/large/snorlax.jpg,Normal,,Sleeping Pokémon,2.1 m (6′11″),460.0 kg (1014.1 lbs),Immunity | Thick Fat | Gluttony,['Monster'],"87.5% male, 12.5% female",160,110,65,65,110,30,540,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
144,Articuno,2,Articuno,https://img.pokemondb.net/artwork/large/articuno.jpg,Ice,Flying,Freeze Pokémon,1.7 m (5′07″),55.4 kg (122.1 lbs),Pressure | Snow Cloak,['Undiscovered'],Genderless,90,85,100,95,125,85,580,1,2,1,2,½,1,1,1,0,1,1,½,4,1,1,1,2,1
144,Articuno,2,Galarian Articuno,https://img.pokemondb.net/artwork/large/articuno-galarian.jpg,Psychic,Flying,Cruel Pokémon,1.7 m (5′07″),50.9 kg (112.2 lbs),Competitive,['Undiscovered'],Genderless,90,85,85,125,100,95,580,1,1,1,2,½,2,¼,1,0,1,½,1,2,2,1,2,1,1
145,Zapdos,2,Zapdos,https://img.pokemondb.net/artwork/large/zapdos.jpg,Electric,Flying,Electric Pokémon,1.6 m (5′03″),52.6 kg (116.0 lbs),Pressure | Static,['Undiscovered'],Genderless,90,90,85,125,90,100,580,1,1,1,1,½,2,½,1,0,½,1,½,2,1,1,1,½,1
145,Zapdos,2,Galarian Zapdos,https://img.pokemondb.net/artwork/large/zapdos-galarian.jpg,Fighting,Flying,Strong Legs Pokémon,1.6 m (5′03″),58.2 kg (128.3 lbs),Defiant,['Undiscovered'],Genderless,90,125,90,85,90,100,580,1,1,1,2,½,2,½,1,0,2,2,¼,1,1,1,½,1,2
146,Moltres,2,Moltres,https://img.pokemondb.net/artwork/large/moltres.jpg,Fire,Flying,Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),Pressure | Flame Body,['Undiscovered'],Genderless,90,100,90,125,85,90,580,1,½,2,2,¼,1,½,1,0,1,1,¼,4,1,1,1,½,½
146,Moltres,2,Galarian Moltres,https://img.pokemondb.net/artwork/large/moltres-galarian.jpg,Dark,Flying,Malevolent Pokémon,2.0 m (6′07″),66.0 kg (145.5 lbs),Berserk,['Undiscovered'],Genderless,90,85,90,100,125,90,580,1,1,1,2,½,2,1,1,0,1,0,1,2,½,1,½,1,2
147,Dratini,1,Dratini,https://img.pokemondb.net/artwork/large/dratini.jpg,Dragon,,Dragon Pokémon,1.8 m (5′11″),3.3 kg (7.3 lbs),Shed Skin | Marvel Scale,"['Dragon', 'Water 1']","50% male, 50% female",41,64,45,50,50,50,300,1,½,½,½,½,2,1,1,1,1,1,1,1,1,2,1,1,2
148,Dragonair,1,Dragonair,https://img.pokemondb.net/artwork/large/dragonair.jpg,Dragon,,Dragon Pokémon,4.0 m (13′01″),16.5 kg (36.4 lbs),Shed Skin | Marvel Scale,"['Dragon', 'Water 1']","50% male, 50% female",61,84,65,70,70,70,420,1,½,½,½,½,2,1,1,1,1,1,1,1,1,2,1,1,2
149,Dragonite,1,Dragonite,https://img.pokemondb.net/artwork/large/dragonite.jpg,Dragon,Flying,Dragon Pokémon,2.2 m (7′03″),210.0 kg (463.0 lbs),Inner Focus | Multiscale,"['Dragon', 'Water 1']","50% male, 50% female",91,134,95,100,100,80,600,1,½,½,1,¼,4,½,1,0,1,1,½,2,1,2,1,1,2
150,Mewtwo,3,Mewtwo,https://img.pokemondb.net/artwork/large/mewtwo.jpg,Psychic,,Genetic Pokémon,2.0 m (6′07″),122.0 kg (269.0 lbs),Pressure | Unnerve,['Undiscovered'],Genderless,106,110,90,154,90,130,680,1,1,1,1,1,1,½,1,1,1,½,2,1,2,1,2,1,1
150,Mewtwo,3,Mega Mewtwo X,https://img.pokemondb.net/artwork/large/mewtwo-mega-x.jpg,Psychic,Fighting,Genetic Pokémon,2.3 m (7′07″),127.0 kg (280.0 lbs),Steadfast,['Undiscovered'],Genderless,106,190,100,154,100,130,780,1,1,1,1,1,1,½,1,1,2,1,1,½,2,1,1,1,2
150,Mewtwo,3,Mega Mewtwo Y,https://img.pokemondb.net/artwork/large/mewtwo-mega-y.jpg,Psychic,,Genetic Pokémon,1.5 m (4′11″),33.0 kg (72.8 lbs),Insomnia,['Undiscovered'],Genderless,106,150,70,194,120,140,780,1,1,1,1,1,1,½,1,1,1,½,2,1,2,1,2,1,1
151,Mew,1,Mew,https://img.pokemondb.net/artwork/large/mew.jpg,Psychic,,New Species Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),Synchronize,['Undiscovered'],Genderless,100,100,100,100,100,100,600,1,1,1,1,1,1,½,1,1,1,½,2,1,2,1,2,1,1
152,Chikorita,1,Chikorita,https://img.pokemondb.net/artwork/large/chikorita.jpg,Grass,,Leaf Pokémon,0.9 m (2′11″),6.4 kg (14.1 lbs),Overgrow | Leaf Guard,"['Grass', 'Monster']","87.5% male, 12.5% female",45,49,65,49,65,45,318,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
153,Bayleef,1,Bayleef,https://img.pokemondb.net/artwork/large/bayleef.jpg,Grass,,Leaf Pokémon,1.2 m (3′11″),15.8 kg (34.8 lbs),Overgrow | Leaf Guard,"['Grass', 'Monster']","87.5% male, 12.5% female",60,62,80,63,80,60,405,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
154,Meganium,1,Meganium,https://img.pokemondb.net/artwork/large/meganium.jpg,Grass,,Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs),Overgrow | Leaf Guard,"['Grass', 'Monster']","87.5% male, 12.5% female",80,82,100,83,100,80,525,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
155,Cyndaquil,1,Cyndaquil,https://img.pokemondb.net/artwork/large/cyndaquil.jpg,Fire,,Fire Mouse Pokémon,0.5 m (1′08″),7.9 kg (17.4 lbs),Blaze | Flash Fire,['Field'],"87.5% male, 12.5% female",39,52,43,60,50,65,309,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
156,Quilava,1,Quilava,https://img.pokemondb.net/artwork/large/quilava.jpg,Fire,,Volcano Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs),Blaze | Flash Fire,['Field'],"87.5% male, 12.5% female",58,64,58,80,65,80,405,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
157,Typhlosion,2,Typhlosion,https://img.pokemondb.net/artwork/large/typhlosion.jpg,Fire,,Volcano Pokémon,1.7 m (5′07″),79.5 kg (175.3 lbs),Blaze | Flash Fire,['Field'],"87.5% male, 12.5% female",78,84,78,109,85,100,534,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
157,Typhlosion,2,Hisuian Typhlosion,https://img.pokemondb.net/artwork/large/typhlosion-hisuian.jpg,Fire,Ghost,Ghost Flame Pokémon,1.6 m (5′03″),69.8 kg (153.9 lbs),Blaze | Frisk,['Field'],"87.5% male, 12.5% female",73,84,78,119,85,95,534,0,½,2,1,½,½,0,½,2,1,1,¼,2,2,1,2,½,½
158,Totodile,1,Totodile,https://img.pokemondb.net/artwork/large/totodile.jpg,Water,,Big Jaw Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs),Torrent | Sheer Force,"['Monster', 'Water 1']","87.5% male, 12.5% female",50,65,64,44,48,43,314,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
159,Croconaw,1,Croconaw,https://img.pokemondb.net/artwork/large/croconaw.jpg,Water,,Big Jaw Pokémon,1.1 m (3′07″),25.0 kg (55.1 lbs),Torrent | Sheer Force,"['Monster', 'Water 1']","87.5% male, 12.5% female",65,80,80,59,63,58,405,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
160,Feraligatr,1,Feraligatr,https://img.pokemondb.net/artwork/large/feraligatr.jpg,Water,,Big Jaw Pokémon,2.3 m (7′07″),88.8 kg (195.8 lbs),Torrent | Sheer Force,"['Monster', 'Water 1']","87.5% male, 12.5% female",85,105,100,79,83,78,530,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
161,Sentret,1,Sentret,https://img.pokemondb.net/artwork/large/sentret.jpg,Normal,,Scout Pokémon,0.8 m (2′07″),6.0 kg (13.2 lbs),Run Away | Keen Eye | Frisk,['Field'],"50% male, 50% female",35,46,34,35,45,20,215,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
162,Furret,1,Furret,https://img.pokemondb.net/artwork/large/furret.jpg,Normal,,Long Body Pokémon,1.8 m (5′11″),32.5 kg (71.7 lbs),Run Away | Keen Eye | Frisk,['Field'],"50% male, 50% female",85,76,64,45,55,90,415,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
163,Hoothoot,1,Hoothoot,https://img.pokemondb.net/artwork/large/hoothoot.jpg,Normal,Flying,Owl Pokémon,0.7 m (2′04″),21.2 kg (46.7 lbs),Insomnia | Keen Eye | Tinted Lens,['Flying'],"50% male, 50% female",60,30,30,36,56,50,262,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
164,Noctowl,1,Noctowl,https://img.pokemondb.net/artwork/large/noctowl.jpg,Normal,Flying,Owl Pokémon,1.6 m (5′03″),40.8 kg (89.9 lbs),Insomnia | Keen Eye | Tinted Lens,['Flying'],"50% male, 50% female",100,50,50,86,96,70,452,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
165,Ledyba,1,Ledyba,https://img.pokemondb.net/artwork/large/ledyba.jpg,Bug,Flying,Five Star Pokémon,1.0 m (3′03″),10.8 kg (23.8 lbs),Swarm | Early Bird | Rattled,['Bug'],"50% male, 50% female",40,20,30,40,80,55,265,1,2,1,2,¼,2,¼,1,0,2,1,½,4,1,1,1,1,1
166,Ledian,1,Ledian,https://img.pokemondb.net/artwork/large/ledian.jpg,Bug,Flying,Five Star Pokémon,1.4 m (4′07″),35.6 kg (78.5 lbs),Swarm | Early Bird | Iron Fist,['Bug'],"50% male, 50% female",55,35,50,55,110,85,390,1,2,1,2,¼,2,¼,1,0,2,1,½,4,1,1,1,1,1
167,Spinarak,1,Spinarak,https://img.pokemondb.net/artwork/large/spinarak.jpg,Bug,Poison,String Spit Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs),Swarm | Insomnia | Sniper,['Bug'],"50% male, 50% female",40,60,40,40,40,30,250,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
168,Ariados,1,Ariados,https://img.pokemondb.net/artwork/large/ariados.jpg,Bug,Poison,Long Leg Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),Swarm | Insomnia | Sniper,['Bug'],"50% male, 50% female",70,90,70,60,70,40,400,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
169,Crobat,1,Crobat,https://img.pokemondb.net/artwork/large/crobat.jpg,Poison,Flying,Bat Pokémon,1.8 m (5′11″),75.0 kg (165.3 lbs),Inner Focus | Infiltrator,['Flying'],"50% male, 50% female",85,90,80,70,80,130,535,1,1,1,2,¼,2,¼,½,0,1,2,¼,2,1,1,1,1,½
170,Chinchou,1,Chinchou,https://img.pokemondb.net/artwork/large/chinchou.jpg,Water,Electric,Angler Pokémon,0.5 m (1′08″),12.0 kg (26.5 lbs),Volt Absorb | Illuminate | Water Absorb,['Water 2'],"50% male, 50% female",75,38,38,56,56,67,330,1,½,½,0,2,½,1,1,2,½,1,1,1,1,1,1,¼,1
171,Lanturn,1,Lanturn,https://img.pokemondb.net/artwork/large/lanturn.jpg,Water,Electric,Light Pokémon,1.2 m (3′11″),22.5 kg (49.6 lbs),Volt Absorb | Illuminate | Water Absorb,['Water 2'],"50% male, 50% female",125,58,58,76,76,67,460,1,½,½,0,2,½,1,1,2,½,1,1,1,1,1,1,¼,1
172,Pichu,1,Pichu,https://img.pokemondb.net/artwork/large/pichu.jpg,Electric,,Tiny Mouse Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),Static | Lightning Rod,['Undiscovered'],"50% male, 50% female",20,40,15,35,35,60,205,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
173,Cleffa,1,Cleffa,https://img.pokemondb.net/artwork/large/cleffa.jpg,Fairy,,Star Shape Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),Cute Charm | Magic Guard | Friend Guard,['Undiscovered'],"25% male, 75% female",50,25,28,45,55,15,218,1,1,1,1,1,1,½,2,1,1,1,½,1,1,0,½,2,1
174,Igglybuff,1,Igglybuff,https://img.pokemondb.net/artwork/large/igglybuff.jpg,Normal,Fairy,Balloon Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),Cute Charm | Competitive | Friend Guard,['Undiscovered'],"25% male, 75% female",90,30,15,40,20,15,210,1,1,1,1,1,1,1,2,1,1,1,½,1,0,0,½,2,1
175,Togepi,1,Togepi,https://img.pokemondb.net/artwork/large/togepi.jpg,Fairy,,Spike Ball Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),Hustle | Serene Grace | Super Luck,['Undiscovered'],"87.5% male, 12.5% female",35,20,65,40,65,20,245,1,1,1,1,1,1,½,2,1,1,1,½,1,1,0,½,2,1
176,Togetic,1,Togetic,https://img.pokemondb.net/artwork/large/togetic.jpg,Fairy,Flying,Happiness Pokémon,0.6 m (2′00″),3.2 kg (7.1 lbs),Hustle | Serene Grace | Super Luck,"['Fairy', 'Flying']","87.5% male, 12.5% female",55,40,85,80,105,40,405,1,1,1,2,½,2,¼,2,0,1,1,¼,2,1,0,½,2,1
177,Natu,1,Natu,https://img.pokemondb.net/artwork/large/natu.jpg,Psychic,Flying,Tiny Bird Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),Synchronize | Early Bird | Magic Bounce,['Flying'],"50% male, 50% female",40,50,45,70,45,70,320,1,1,1,2,½,2,¼,1,0,1,½,1,2,2,1,2,1,1
178,Xatu,1,Xatu,https://img.pokemondb.net/artwork/large/xatu.jpg,Psychic,Flying,Mystic Pokémon,1.5 m (4′11″),15.0 kg (33.1 lbs),Synchronize | Early Bird | Magic Bounce,['Flying'],"50% male, 50% female",65,75,70,95,70,95,470,1,1,1,2,½,2,¼,1,0,1,½,1,2,2,1,2,1,1
179,Mareep,1,Mareep,https://img.pokemondb.net/artwork/large/mareep.jpg,Electric,,Wool Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),Static | Plus,"['Field', 'Monster']","50% male, 50% female",55,40,40,65,45,35,280,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
180,Flaaffy,1,Flaaffy,https://img.pokemondb.net/artwork/large/flaaffy.jpg,Electric,,Wool Pokémon,0.8 m (2′07″),13.3 kg (29.3 lbs),Static | Plus,"['Field', 'Monster']","50% male, 50% female",70,55,55,80,60,45,365,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
181,Ampharos,2,Ampharos,https://img.pokemondb.net/artwork/large/ampharos.jpg,Electric,,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),Static | Plus,"['Field', 'Monster']","50% male, 50% female",90,75,85,115,90,55,510,1,1,1,½,1,1,1,1,2,½,1,1,1,1,1,1,½,1
181,Ampharos,2,Mega Ampharos,https://img.pokemondb.net/artwork/large/ampharos-mega.jpg,Electric,Dragon,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),Mold Breaker,"['Field', 'Monster']","50% male, 50% female",90,95,105,165,110,45,610,1,½,½,¼,½,2,1,1,2,½,1,1,1,1,2,1,½,2
182,Bellossom,1,Bellossom,https://img.pokemondb.net/artwork/large/bellossom.jpg,Grass,,Flower Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),Chlorophyll | Healer,['Grass'],"50% male, 50% female",75,80,95,90,100,50,490,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
183,Marill,1,Marill,https://img.pokemondb.net/artwork/large/marill.jpg,Water,Fairy,Aqua Mouse Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs),Thick Fat | Huge Power | Sap Sipper,"['Fairy', 'Water 1']","50% male, 50% female",70,20,50,20,50,40,250,1,¼,½,2,2,¼,½,2,1,1,1,½,1,1,0,½,1,1
184,Azumarill,1,Azumarill,https://img.pokemondb.net/artwork/large/azumarill.jpg,Water,Fairy,Aqua Rabbit Pokémon,0.8 m (2′07″),28.5 kg (62.8 lbs),Thick Fat | Huge Power | Sap Sipper,"['Fairy', 'Water 1']","50% male, 50% female",100,50,80,60,80,50,420,1,¼,½,2,2,¼,½,2,1,1,1,½,1,1,0,½,1,1
185,Sudowoodo,1,Sudowoodo,https://img.pokemondb.net/artwork/large/sudowoodo.jpg,Rock,,Imitation Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),Sturdy | Rock Head | Rattled,['Mineral'],"50% male, 50% female",70,100,115,30,65,30,410,½,½,2,1,2,1,2,½,2,½,1,1,1,1,1,1,2,1
186,Politoed,1,Politoed,https://img.pokemondb.net/artwork/large/politoed.jpg,Water,,Frog Pokémon,1.1 m (3′07″),33.9 kg (74.7 lbs),Water Absorb | Damp | Drizzle,['Water 1'],"50% male, 50% female",90,75,75,90,100,70,500,1,½,0,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
187,Hoppip,1,Hoppip,https://img.pokemondb.net/artwork/large/hoppip.jpg,Grass,Flying,Cottonweed Pokémon,0.4 m (1′04″),0.5 kg (1.1 lbs),Chlorophyll | Leaf Guard | Infiltrator,"['Fairy', 'Grass']","50% male, 50% female",35,35,40,35,55,50,250,1,2,½,1,¼,4,½,2,0,2,1,1,2,1,1,1,1,1
188,Skiploom,1,Skiploom,https://img.pokemondb.net/artwork/large/skiploom.jpg,Grass,Flying,Cottonweed Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),Chlorophyll | Leaf Guard | Infiltrator,"['Fairy', 'Grass']","50% male, 50% female",55,45,50,45,65,80,340,1,2,½,1,¼,4,½,2,0,2,1,1,2,1,1,1,1,1
189,Jumpluff,1,Jumpluff,https://img.pokemondb.net/artwork/large/jumpluff.jpg,Grass,Flying,Cottonweed Pokémon,0.8 m (2′07″),3.0 kg (6.6 lbs),Chlorophyll | Leaf Guard | Infiltrator,"['Fairy', 'Grass']","50% male, 50% female",75,55,70,55,95,110,460,1,2,½,1,¼,4,½,2,0,2,1,1,2,1,1,1,1,1
190,Aipom,1,Aipom,https://img.pokemondb.net/artwork/large/aipom.jpg,Normal,,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs),Run Away | Pickup | Skill Link,['Field'],"50% male, 50% female",55,70,55,40,55,85,360,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
191,Sunkern,1,Sunkern,https://img.pokemondb.net/artwork/large/sunkern.jpg,Grass,,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),Chlorophyll | Solar Power | Early Bird,['Grass'],"50% male, 50% female",30,30,30,30,30,30,180,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
192,Sunflora,1,Sunflora,https://img.pokemondb.net/artwork/large/sunflora.jpg,Grass,,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs),Chlorophyll | Solar Power | Early Bird,['Grass'],"50% male, 50% female",75,75,55,105,85,30,425,1,2,½,½,½,2,1,2,½,2,1,2,1,1,1,1,1,1
193,Yanma,1,Yanma,https://img.pokemondb.net/artwork/large/yanma.jpg,Bug,Flying,Clear Wing Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),Speed Boost | Compound Eyes | Frisk,['Bug'],"50% male, 50% female",65,65,45,75,45,95,390,1,2,1,2,¼,2,¼,1,0,2,1,½,4,1,1,1,1,1
194,Wooper,2,Wooper,https://img.pokemondb.net/artwork/large/wooper.jpg,Water,Ground,Water Fish Pokémon,0.4 m (1′04″),8.5 kg (18.7 lbs),Damp | Water Absorb | Unaware,"['Field', 'Water 1']","50% male, 50% female",55,45,45,25,25,15,210,1,½,1,0,4,1,1,½,1,1,1,1,½,1,1,1,½,1
194,Wooper,2,Paldean Wooper,https://img.pokemondb.net/artwork/large/wooper-paldean.jpg,Poison,Ground,Poison Fish Pokémon,0.4 m (1′04″),11.0 kg (24.3 lbs),Poison Point | Water Absorb | Unaware,"['Field', 'Water 1']","50% male, 50% female",55,45,45,25,25,15,210,1,1,2,0,1,2,½,¼,2,1,2,½,½,1,1,1,1,½
195,Quagsire,1,Quagsire,https://img.pokemondb.net/artwork/large/quagsire.jpg,Water,Ground,Water Fish Pokémon,1.4 m (4′07″),75.0 kg (165.3 lbs),Damp | Water Absorb | Unaware,"['Field', 'Water 1']","50% male, 50% female",95,85,85,65,65,35,430,1,½,1,0,4,1,1,½,1,1,1,1,½,1,1,1,½,1
196,Espeon,1,Espeon,https://img.pokemondb.net/artwork/large/espeon.jpg,Psychic,,Sun Pokémon,0.9 m (2′11″),26.5 kg (58.4 lbs),Synchronize | Magic Bounce,['Field'],"87.5% male, 12.5% female",65,65,60,130,95,110,525,1,1,1,1,1,1,½,1,1,1,½,2,1,2,1,2,1,1
197,Umbreon,1,Umbreon,https://img.pokemondb.net/artwork/large/umbreon.jpg,Dark,,Moonlight Pokémon,1.0 m (3′03″),27.0 kg (59.5 lbs),Synchronize | Inner Focus,['Field'],"87.5% male, 12.5% female",95,65,110,60,130,65,525,1,1,1,1,1,1,2,1,1,1,0,2,1,½,1,½,1,2
198,Murkrow,1,Murkrow,https://img.pokemondb.net/artwork/large/murkrow.jpg,Dark,Flying,Darkness Pokémon,0.5 m (1′08″),2.1 kg (4.6 lbs),Insomnia | Super Luck | Prankster,['Flying'],"50% male, 50% female",60,85,42,85,42,91,405,1,1,1,2,½,2,1,1,0,1,0,1,2,½,1,½,1,2
199,Slowking,2,Slowking,https://img.pokemondb.net/artwork/large/slowking.jpg,Water,Psychic,Royal Pokémon,2.0 m (6′07″),79.5 kg (175.3 lbs),Oblivious | Own Tempo | Regenerator,"['Monster', 'Water 1']","50% male, 50% female",95,75,80,100,110,30,490,1,½,½,2,2,½,½,1,1,1,½,2,1,2,1,2,½,1
199,Slowking,2,Galarian Slowking,https://img.pokemondb.net/artwork/large/slowking-galarian.jpg,Poison,Psychic,Hexpert Pokémon,1.8 m (5′11″),79.5 kg (175.3 lbs),Curious Medicine | Own Tempo | Regenerator,"['Monster', 'Water 1']","50% male, 50% female",95,65,80,110,110,30,490,1,1,1,1,½,1,¼,½,2,1,1,1,1,2,1,2,1,½
200,Misdreavus,1,Misdreavus,https://img.pokemondb.net/artwork/large/misdreavus.jpg,Ghost,,Screech Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs),Levitate,['Amorphous'],"50% male, 50% female",60,60,60,85,85,85,435,0,1,1,1,1,1,0,½,0,1,1,½,1,2,1,2,1,1
